evidence_type,domain,threat_model,failure_mode,cell_support_rows,gap_severity,minimum_next_evidence
evidence_generation,compute,risk_certification,backdoor,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,backdoor,backdoor,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,data_poisoning,backdoor,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,frontier_capability_tracking,backdoor,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,risk_certification,backdoor,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,GPAI,catastrophic_risk,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,GPAI,risk_certification,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,GPAI,unlearning,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,evaluations,catastrophic_risk,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,evaluations,risk_certification,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,evaluations,unlearning,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,catastrophic_risk,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,risk_certification,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,unlearning,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,catastrophic_risk,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,risk_certification,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,evaluations,unlearning,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,unlearning,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,unlearning,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,cyber_misuse,contamination,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,dangerous_capabilities,contamination,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,frontier_capability_tracking,contamination,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,risk_certification,contamination,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,cyber_misuse,contamination,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,dangerous_capabilities,contamination,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,frontier_capability_tracking,contamination,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,risk_certification,contamination,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,GPAI,catastrophic_risk,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,GPAI,frontier_capability_tracking,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,GPAI,risk_certification,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,compute,catastrophic_risk,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,compute,frontier_capability_tracking,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
requirements,compute,risk_certification,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,catastrophic_risk,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,frontier_capability_tracking,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,GPAI,risk_certification,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,compute,catastrophic_risk,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,compute,frontier_capability_tracking,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
evidence_generation,compute,risk_certification,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,catastrophic_risk,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,frontier_capability_tracking,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,risk_certification,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,compute,catastrophic_risk,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,compute,frontier_capability_tracking,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,compute,risk_certification,obfuscation,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,GPAI,dangerous_capabilities,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
audit_verification,evaluations,dangerous_capabilities,unspecified,1,high,At least 2 independent technical records + 1 independently verifiable governance artifact
