entity_id,entity_type,reproducibility,adversarial_robustness,independent_verification,ecological_validity,gaming_susceptibility,eqs_score
T-EGM-036,technical,3,3,2,3,2,2.25
T-EGM-037,technical,3,3,2,3,2,2.25
T-EGM-038,technical,3,3,2,3,2,2.25
T-EGM-039,technical,3,3,2,3,2,2.25
T-EGM-040,technical,3,3,2,3,2,2.25
T-EGM-041,technical,3,3,2,3,2,2.25
T-EGM-042,technical,3,2,2,2,2,1.85
T-EGM-043,technical,3,3,2,3,2,2.25
T-EGM-044,technical,3,3,2,3,2,2.25
T-EGM-045,technical,3,3,2,3,2,2.25
