record_uid,source_database,query_id,record_title,record_year,screening_stage,inclusion_decision,exclusion_reason_code,exclusion_reason_detail,linked_object_type,linked_object_id
GOV-S2-T3-33,Seed corpus import,Q-GOV-01,FMF: AI‑bio misuse mitigations taxonomy.,,full_text,include,,,governance_artifact,S2-T3-33
GOV-S2-T3-34,Seed corpus import,Q-GOV-01,FMF: AI‑Cyber workstream page.,,full_text,include,,,governance_artifact,S2-T3-34
GOV-S2-T3-35,Seed corpus import,Q-GOV-01,FMF: AI‑Nuclear workstream page.,,full_text,include,,,governance_artifact,S2-T3-35
GOV-S2-T3-36,Seed corpus import,Q-GOV-01,FMF: AI‑Bio workstream page.,,full_text,include,,,governance_artifact,S2-T3-36
GOV-S2-T3-37,Seed corpus import,Q-GOV-01,METR: Common Elements (July 2024).,,full_text,include,,,governance_artifact,S2-T3-37
GOV-S2-T3-38,Seed corpus import,Q-GOV-01,METR: Common Elements (March 2025).,,full_text,include,,,governance_artifact,S2-T3-38
GOV-S2-T3-39,Seed corpus import,Q-GOV-01,METR: Example safety and security framework (Apr 2025).,,full_text,include,,,governance_artifact,S2-T3-39
GOV-S2-T3-40,Seed corpus import,Q-GOV-01,OpenAI Preparedness Framework v2 (PDF).,,full_text,include,,,governance_artifact,S2-T3-40
GOV-S2-T3-41,Seed corpus import,Q-GOV-01,OpenAI Preparedness blog update.,,full_text,include,,,governance_artifact,S2-T3-41
GOV-S2-T3-42,Seed corpus import,Q-GOV-01,Anthropic RSP (Oct 2024 PDF).,,full_text,include,,,governance_artifact,S2-T3-42
GOV-S2-T3-43,Seed corpus import,Q-GOV-01,Anthropic RSP updates/versioning page.,,full_text,include,,,governance_artifact,S2-T3-43
GOV-S2-T3-44,Seed corpus import,Q-GOV-01,Google DeepMind Frontier Safety Framework 3.0 (PDF).,,full_text,include,,,governance_artifact,S2-T3-44
GOV-S2-T3-45,Seed corpus import,Q-GOV-01,Google DeepMind Frontier Safety Framework update blog.,,full_text,include,,,governance_artifact,S2-T3-45
GOV-S2-T3-46,Seed corpus import,Q-GOV-01,Joint pre‑deployment testing report (US/UK) on OpenAI o1.,,full_text,include,,,governance_artifact,S2-T3-46
GOV-S2-T3-47,Seed corpus import,Q-GOV-01,OpenAI o1 system card (PDF).,,full_text,include,,,governance_artifact,S2-T3-47
GOV-S2-T3-48,Seed corpus import,Q-GOV-01,UK AISI “Our First Year” blog (name change note).,,full_text,include,,,governance_artifact,S2-T3-48
GOV-S2-T3-49,Seed corpus import,Q-GOV-01,UK parliamentary written statement on renaming.,,full_text,include,,,governance_artifact,S2-T3-49
GOV-S2-T3-50,Seed corpus import,Q-GOV-01,AISI Frontier AI Trends Report page.,,full_text,include,,,governance_artifact,S2-T3-50
GOV-S2-T3-51,Seed corpus import,Q-GOV-01,International AI Safety Report 2026 (PDF).,,full_text,include,,,governance_artifact,S2-T3-51
GOV-S2-T3-52,Seed corpus import,Q-GOV-01,International AI Safety Report 2026 (publication page).,,full_text,include,,,governance_artifact,S2-T3-52
GOV-S2-T3-53,Seed corpus import,Q-GOV-01,California Report on Frontier AI Policy (PDF).,,full_text,include,,,governance_artifact,S2-T3-53
GOV-S2-T3-54,Seed corpus import,Q-GOV-01,NVIDIA Frontier AI Risk Assessment (PDF).,,full_text,include,,,governance_artifact,S2-T3-54
GOV-S2-T3-55,Seed corpus import,Q-GOV-01,RAND report on securing frontier AI (PDF).,,full_text,include,,,governance_artifact,S2-T3-55
GOV-S2-T3-56,Seed corpus import,Q-GOV-01,WEF Global Cybersecurity Outlook 2026 (PDF).,,full_text,include,,,governance_artifact,S2-T3-56
GOV-S2-T3-57,Seed corpus import,Q-GOV-01,ControlArena research page (Control evaluations catalog).,,full_text,include,,,governance_artifact,S2-T3-57
GOV-S2-T3-58,Seed corpus import,Q-GOV-01,"Federal Register: AI diffusion rule (again, canonical reference).",,full_text,include,,,governance_artifact,S2-T3-58
GOV-S2-T3-59,Seed corpus import,Q-GOV-01,"OMB memo as governance anchor (again, canonical reference).",,full_text,include,,,governance_artifact,S2-T3-59
GOV-S2-T3-60,Seed corpus import,Q-GOV-01,"CIO.gov use‑case inventory infrastructure (again, canonical reference).",,full_text,include,,,governance_artifact,S2-T3-60
GOV-S2-T3-61,Seed corpus import,Q-GOV-01,Federal Reserve Board M‑24‑10 compliance plan (PDF).,,full_text,include,,,governance_artifact,S2-T3-61
GOV-S2-T3-62,Seed corpus import,Q-GOV-01,EXIM M‑24‑10 compliance plan (PDF).,,full_text,include,,,governance_artifact,S2-T3-62
GOV-S2-T3-63,Seed corpus import,Q-GOV-01,US State Department M‑24‑10 compliance plan page.,,full_text,include,,,governance_artifact,S2-T3-63
GOV-S2-T3-64,Seed corpus import,Q-GOV-01,SBA M‑24‑10 compliance plan page.,,full_text,include,,,governance_artifact,S2-T3-64
GOV-S2-T3-65,Seed corpus import,Q-GOV-01,Reuters: EU AI Act timeline “no stop the clock” context.,,full_text,include,,,governance_artifact,S2-T3-65
GOV-S2-T3-66,Seed corpus import,Q-GOV-01,AP: EU code of practice release coverage.,,full_text,include,,,governance_artifact,S2-T3-66
GOV-S2-T3-67,Seed corpus import,Q-GOV-01,OECD dashboard entry for HLAB‑AI.,,full_text,include,,,governance_artifact,S2-T3-67
GOV-S2-T3-68,Seed corpus import,Q-GOV-01,UN operational use of AI in UN system report (Nov 2024).,,full_text,include,,,governance_artifact,S2-T3-68
GOV-S2-T3-69,Seed corpus import,Q-GOV-01,EU AI Act policy explainer page (AI Act overview).,,full_text,include,,,governance_artifact,S2-T3-69
GOV-S2-T3-70,Seed corpus import,Q-GOV-01,FMF “Frontier Frameworks Workstream” index.,,full_text,include,,,governance_artifact,S2-T3-70
GOV-S2-T3-71,Seed corpus import,Q-GOV-01,FMF “Risk taxonomy and thresholds” page (HTML).,,full_text,include,,,governance_artifact,S2-T3-71
GOV-S2-T3-72,Seed corpus import,Q-GOV-01,FMF home page mission framing.,,full_text,include,,,governance_artifact,S2-T3-72
GOV-S2-T3-73,Seed corpus import,Q-GOV-01,OECD event listing for HAIP reporting framework (repeat canonical).,,full_text,include,,,governance_artifact,S2-T3-73
GOV-S2-T3-74,Seed corpus import,Q-GOV-01,EU Code of Practice overview (third‑party explainer; background).,,full_text,include,,,governance_artifact,S2-T3-74
GOV-S2-T3-75,Seed corpus import,Q-GOV-01,UK government news on AI Security Institute (“plan for change”).,,full_text,include,,,governance_artifact,S2-T3-75
GOV-S2-T3-76,Seed corpus import,Q-GOV-01,AISI “Fourth progress report” (May 2024).,,full_text,include,,,governance_artifact,S2-T3-76
GOV-S2-T3-77,Seed corpus import,Q-GOV-01,OECD “Launching HAIP reporting framework” event page (alt source).,,full_text,include,,,governance_artifact,S2-T3-77
GOV-S2-T3-78,Seed corpus import,Q-GOV-01,OECD: “How are AI developers managing risks?” PDF (alt source).,,full_text,include,,,governance_artifact,S2-T3-78
GOV-S2-T3-79,Seed corpus import,Q-GOV-01,FMF: “Frontier AI and nuclear security” workstream framing (alt).,,full_text,include,,,governance_artifact,S2-T3-79
GOV-S2-T3-80,Seed corpus import,Q-GOV-01,“Survey on thresholds for advanced AI systems” (expert survey).,,full_text,include,,,governance_artifact,S2-T3-80
GOV-S2-T3-81,Seed corpus import,Q-GOV-01,“Mapping benchmark data to quantitative risk estimates” (risk quant).,,full_text,include,,,governance_artifact,S2-T3-81
GOV-S2-T3-82,Seed corpus import,Q-GOV-01,International AI Safety Report 2026 disclaimer / official PDF (repeat canonical).,,full_text,include,,,governance_artifact,S2-T3-82
GOV-S2-T3-83,Seed corpus import,Q-GOV-01,FMF: “Frontier AI and nuclear security” research update (repeat canonical).,,full_text,include,,,governance_artifact,S2-T3-83
GOV-S2-T3-84,Seed corpus import,Q-GOV-01,OpenAI “Safety & responsibility” hub referencing system cards under Preparedness v2 (context).,,full_text,include,,,governance_artifact,S2-T3-84
GOV-S2-T3-85,Seed corpus import,Q-GOV-01,Google DeepMind Gemini frontier safety framework report (example application).,,full_text,include,,,governance_artifact,S2-T3-85
GOV-S2-T3-86,Seed corpus import,Q-GOV-01,WEF synthetic data governance report (traceability/labeling).,,full_text,include,,,governance_artifact,S2-T3-86
GOV-S2-T3-87,Seed corpus import,Q-GOV-01,Stimson roundup noting cross‑domain nuclear security work (context).,,full_text,include,,,governance_artifact,S2-T3-87
GOV-S2-T3-88,Seed corpus import,Q-GOV-01,UK AISI rebrand statement context (AI Now).,,full_text,include,,,governance_artifact,S2-T3-88
GOV-S2-T3-89,Seed corpus import,Q-GOV-01,Brookings analysis of HAIP framework (Jan 2026).,,full_text,include,,,governance_artifact,S2-T3-89
GOV-S2-T3-90,Seed corpus import,Q-GOV-01,OpenAI “international security” PDF referencing Preparedness Framework and governance context (Feb 2026).,,full_text,include,,,governance_artifact,S2-T3-90
GOV-S2-T3-91,Seed corpus import,Q-GOV-01,FMF: preliminary best practices for frontier safety evaluations (listed).,,full_text,include,,,governance_artifact,S2-T3-91
GOV-S2-T3-92,Seed corpus import,Q-GOV-01,FMF: components of safety frameworks (listed).,,full_text,include,,,governance_artifact,S2-T3-92
GOV-S2-T3-93,Seed corpus import,Q-GOV-01,FMF: preliminary taxonomy of pre‑deployment evaluations (listed).,,full_text,include,,,governance_artifact,S2-T3-93
GOV-S2-T3-94,Seed corpus import,Q-GOV-01,FMF annual letter (listed).,,full_text,include,,,governance_artifact,S2-T3-94
GOV-S2-T3-95,Seed corpus import,Q-GOV-01,FMF information‑sharing agreement announcement (listed).,,full_text,include,,,governance_artifact,S2-T3-95
GOV-S2-T3-96,Seed corpus import,Q-GOV-01,EU AI Act “no pause” political context (Guardian).,,full_text,include,,,governance_artifact,S2-T3-96
GOV-S2-T3-97,Seed corpus import,Q-GOV-01,EU AI Act US/EU clash context (Le Monde).,,full_text,include,,,governance_artifact,S2-T3-97
GOV-S2-T3-98,Seed corpus import,Q-GOV-01,EU AI Act pressure context (Reuters).,,full_text,include,,,governance_artifact,S2-T3-98
GOV-S2-T3-99,Seed corpus import,Q-GOV-01,OECD policy initiative dashboard entry for HAIP Code of Conduct / reporting framework.,,full_text,include,,,governance_artifact,S2-T3-99
GOV-S2-T3-100,Seed corpus import,Q-GOV-01,OECD event listing reinforcing launch date (Feb 2025).,,full_text,include,,,governance_artifact,S2-T3-100
TECH-T-EGM-001,Seed corpus import,Q-TECH-01,Chain of Thought Monitorability: A New and Fragile Opportunity for AI Safety.,2025,full_text,include,,,technical_paper,T-EGM-001
TECH-T-EGM-002,Seed corpus import,Q-TECH-01,Probing and Steering Evaluation Awareness of Language Models.,2025,full_text,include,,,technical_paper,T-EGM-002
TECH-T-EGM-003,Seed corpus import,Q-TECH-01,Steering Evaluation-Aware Language Models To Act Like They Are Deployed.,2025,full_text,include,,,technical_paper,T-EGM-003
TECH-T-EGM-004,Seed corpus import,Q-TECH-01,Evaluation Awareness Scales Predictably in Open-Weights Models.,2025,full_text,include,,,technical_paper,T-EGM-004
TECH-T-EGM-005,Seed corpus import,Q-TECH-01,Sabotage Evaluations for Frontier Models.,2024,full_text,include,,,technical_paper,T-EGM-005
TECH-T-EGM-006,Seed corpus import,Q-TECH-01,Evaluating Sabotage and Monitoring in LLM Agents.,2025,full_text,include,,,technical_paper,T-EGM-006
TECH-T-EGM-007,Seed corpus import,Q-TECH-01,How does information access affect LLM monitors’ ability to detect sabotage?,2026,full_text,include,,,technical_paper,T-EGM-007
TECH-T-EGM-008,Seed corpus import,Q-TECH-01,AI Control: Improving Safety Despite Intentional Subversion.,2024,full_text,include,,,technical_paper,T-EGM-008
TECH-T-EGM-009,Seed corpus import,Q-TECH-01,Frontier Models are Capable of In-context Scheming.,2024,full_text,include,,,technical_paper,T-EGM-009
TECH-T-EGM-010,Seed corpus import,Q-TECH-01,Large Language Models Can Strategically Deceive their Users When Put Under Pressure.,2024,full_text,include,,,technical_paper,T-EGM-010
TECH-T-EGM-011,Seed corpus import,Q-TECH-01,A Benchmark for Scalable Oversight Mechanisms.,2025,full_text,include,,,technical_paper,T-EGM-011
TECH-T-EGM-012,Seed corpus import,Q-TECH-01,Debating with More Persuasive LLMs Leads to More Truthful Answers.,2024,full_text,include,,,technical_paper,T-EGM-012
TECH-T-EGM-013,Seed corpus import,Q-TECH-01,On scalable oversight with weak LLMs judging strong LLMs.,2024,full_text,include,,,technical_paper,T-EGM-013
TECH-T-EGM-014,Seed corpus import,Q-TECH-01,Training Language Models to Win Debates with Self-Play Improves Judge Accuracy.,2024,full_text,include,,,technical_paper,T-EGM-014
TECH-T-EGM-015,Seed corpus import,Q-TECH-01,Weak-to-Strong Generalization: Eliciting Strong Capabilities With Weak Supervision.,2024,full_text,include,,,technical_paper,T-EGM-015
TECH-T-EGM-016,Seed corpus import,Q-TECH-01,HarmBench: A standardized evaluation framework for LLM red teaming.,2024,full_text,include,,,technical_paper,T-EGM-016
TECH-T-EGM-017,Seed corpus import,Q-TECH-01,Many-shot Jailbreaking.,2024,full_text,include,,,technical_paper,T-EGM-017
TECH-T-EGM-018,Seed corpus import,Q-TECH-01,Mitigating Many-Shot Jailbreaking.,2025,full_text,include,,,technical_paper,T-EGM-018
TECH-T-EGM-019,Seed corpus import,Q-TECH-01,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training.,2024,full_text,include,,,technical_paper,T-EGM-019
TECH-T-EGM-020,Seed corpus import,Q-TECH-01,Pandora’s White-Box: Precise Training Data Detection and Extraction in Large Language Models.,2024,full_text,include,,,technical_paper,T-EGM-020
TECH-T-EGM-021,Seed corpus import,Q-TECH-01,Inexact Unlearning Needs More Careful Evaluations to Avoid a False Sense of Privacy.,2024,full_text,include,,,technical_paper,T-EGM-021
TECH-T-EGM-022,Seed corpus import,Q-TECH-01,Rethinking Machine Unlearning for Large Language Models.,2024,full_text,include,,,technical_paper,T-EGM-022
TECH-T-EGM-023,Seed corpus import,Q-TECH-01,Towards Robust Evaluation of Unlearning in LLMs via Data …,2024,full_text,include,,,technical_paper,T-EGM-023
TECH-T-EGM-024,Seed corpus import,Q-TECH-01,Prompt Injection Attacks and Defenses in LLM-Integrated Applications.,2025,full_text,include,,,technical_paper,T-EGM-024
TECH-T-EGM-025,Seed corpus import,Q-TECH-01,CyberSecEval 2: A Wide-Ranging Cybersecurity Evaluation Suite for Large Language Models.,2024,full_text,include,,,technical_paper,T-EGM-025
TECH-T-EGM-026,Seed corpus import,Q-TECH-01,Finetuning-Activated Backdoors in LLMs.,2025,full_text,include,,,technical_paper,T-EGM-026
TECH-T-EGM-027,Seed corpus import,Q-TECH-01,Poisoning Attacks on LLMs Require a Near-constant Number of Poison Samples.,2025,full_text,include,,,technical_paper,T-EGM-027
TECH-T-EGM-028,Seed corpus import,Q-TECH-01,The Trigger in the Haystack: Extracting and Reconstructing LLM Backdoor Triggers.,2026,full_text,include,,,technical_paper,T-EGM-028
TECH-T-EGM-029,Seed corpus import,Q-TECH-01,vTune: Verifiable Fine-Tuning for LLMs Through Backdooring.,2024,full_text,include,,,technical_paper,T-EGM-029
TECH-T-EGM-030,Seed corpus import,Q-TECH-01,Persistent Backdoor Attacks under Continual Fine-Tuning of LLMs.,2025,full_text,include,,,technical_paper,T-EGM-030
TECH-T-EGM-031,Seed corpus import,Q-TECH-01,A Survey of Recent Backdoor Attacks and Defenses in Large Language Models.,2024,full_text,include,,,technical_paper,T-EGM-031
TECH-T-EGM-032,Seed corpus import,Q-TECH-01,"Scalable Extraction of Training Data from Aligned, Production Language Models.",2025,full_text,include,,,technical_paper,T-EGM-032
TECH-T-EGM-033,Seed corpus import,Q-TECH-01,Extracting alignment data in open models.,2025,full_text,include,,,technical_paper,T-EGM-033
TECH-T-EGM-034,Seed corpus import,Q-TECH-01,Alignment Faking in Large Language Models.,2024,full_text,include,,,technical_paper,T-EGM-034
TECH-T-EGM-035,Seed corpus import,Q-TECH-01,Why Do Some Language Models Fake Alignment While Others Don’t?,2025,full_text,include,,,technical_paper,T-EGM-035
TECH-T-EGM-036,Seed corpus import,Q-TECH-01,Natural Emergent Misalignment from Reward Hacking in Production RL.,2025,full_text,include,,,technical_paper,T-EGM-036
TECH-T-EGM-037,Seed corpus import,Q-TECH-01,Subliminal Learning: Language Models Transmit Behavioral Traits via Hidden Signals in Data.,2025,full_text,include,,,technical_paper,T-EGM-037
TECH-T-EGM-038,Seed corpus import,Q-TECH-01,"Subliminal Corruption: Mechanisms, Thresholds, and Interpretability.",2025,full_text,include,,,technical_paper,T-EGM-038
TECH-T-EGM-039,Seed corpus import,Q-TECH-01,School of Reward Hacks.,2025,full_text,include,,,technical_paper,T-EGM-039
TECH-T-EGM-040,Seed corpus import,Q-TECH-01,How Catastrophic is Your LLM? Certifying Risk in Conversation.,2026,full_text,include,,,technical_paper,T-EGM-040
TECH-T-EGM-041,Seed corpus import,Q-TECH-01,Evaluating Frontier Models for Dangerous Capabilities.,2024,full_text,include,,,technical_paper,T-EGM-041
TECH-T-EGM-042,Seed corpus import,Q-TECH-01,FrontierMath: A Benchmark for Evaluating Advanced Mathematical Reasoning in AI.,2024,full_text,include,,,technical_paper,T-EGM-042
TECH-T-EGM-043,Seed corpus import,Q-TECH-01,On the conversational persuasiveness of GPT-4.,2025,full_text,include,,,technical_paper,T-EGM-043
TECH-T-EGM-044,Seed corpus import,Q-TECH-01,Evaluating the persuasive influence of political microtargeting with large language models.,2024,full_text,include,,,technical_paper,T-EGM-044
TECH-T-EGM-045,Seed corpus import,Q-TECH-01,Estimating Worst-Case Frontier Risks of Open-Weight LLMs.,2025,full_text,include,,,technical_paper,T-EGM-045
R-001,Scopus,Q-GOV-01,Algorithmic impact assessments in municipal procurement,2021,title_abstract,exclude,RC01_OUT_OF_SCOPE,"Public sector procurement policy, no AI assurance artifact.",,
R-002,Scopus,Q-GOV-01,Trustworthy software lifecycle checklist,2019,title_abstract,exclude,RC02_NOT_AI_SPECIFIC,General software guidance without AI-specific requirements.,,
R-003,Web of Science,Q-GOV-01,Responsible innovation frameworks for biotech,2020,title_abstract,exclude,RC01_OUT_OF_SCOPE,Domain does not concern AI systems.,,
R-004,Google Scholar,Q-TECH-01,Leaderboard hacking in Kaggle competitions,2018,full_text,exclude,RC03_NO_ASSURANCE_METHOD,Descriptive discussion without evaluable monitorability or anti-gaming method.,,
R-005,arXiv,Q-TECH-01,Prompt engineering tips for practitioners,2024,title_abstract,exclude,RC03_NO_ASSURANCE_METHOD,No evaluation methodology or assurance-relevant evidence.,,
R-006,IEEE Xplore,Q-TECH-01,Safety cases for autonomous rail systems,2017,full_text,exclude,RC04_DOMAIN_MISMATCH,Safety-case evidence not transferable to AI model assurance context.,,
R-007,Scopus,Q-TECH-01,Survey of explainable AI in healthcare,2022,full_text,exclude,RC05_WRONG_OUTCOME,"Focuses on explainability perception outcomes, not gaming/monitorability evidence.",,
R-008,Web of Science,Q-TECH-01,Adversarial examples in vision,2016,full_text,exclude,RC05_WRONG_OUTCOME,Robustness-only focus; lacks monitorability/evaluation-gaming relevance.,,
R-009,Google Scholar,Q-TECH-01,Evaluation metrics for chatbots,2019,full_text,exclude,RC06_INSUFFICIENT_REPORTING,Missing dataset/protocol details required for extraction.,,
R-010,Scopus,Q-GOV-01,EU trustworthy AI principles commentary,2020,full_text,exclude,RC07_SECONDARY_COMMENTARY,Commentary article summarizing standards without primary artifact.,,
R-011,arXiv,Q-TECH-01,Detecting benchmark overfitting with holdout tests,2020,full_text,exclude,RC08_DUPLICATE,Duplicate of included paper_id T-EGM-029 (preprint-journal pair).,,
R-012,OpenAlex,Q-TECH-01,Observational notes on model cards,2021,full_text,exclude,RC03_NO_ASSURANCE_METHOD,Opinion piece with no empirical method.,,
