id,n,raw_description,issuer,artifact_type,artifact_subtype,assurance_function,domain,verification_strength,verification_basis,evidence_dependency,bindingness,is_canonical,is_secondary_pointer,canonical_group_id,dedupe_key,source_file,source_line,tag_confidence,atlas_version,schema_version
S2-T3-16,16,OECD: “Trends in AI incidents…” (Feb 2026).,OECD,report,report,evidence,"[""incidents""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-16,OECD:OECD: “Trends in AI incidents…”,deep-research-report (2).md,295,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-17,17,UN: Governing AI for Humanity (final report PDF).,UN,report,report,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,primary_source_or_official_report,voluntary,True,False,S2-T3-17,UN:UN: Governing AI for Humanity,deep-research-report (2).md,296,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-18,18,UN AI Advisory Body landing page.,UN,report,portal_page,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,registry_or_info,voluntary,False,True,S2-T3-17,UN:UN AI Advisory Body landing page,deep-research-report (2).md,297,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-19,19,UN iLibrary entry for Governing AI for Humanity.,UN,report,report,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,primary_source_or_official_report,voluntary,False,True,S2-T3-17,UN:UN iLibrary entry for Governing AI for Humanity,deep-research-report (2).md,298,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-20,20,OMB M‑24‑10 (PDF).,OMB,report,policy_memo,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-20,OMB:OMB M‑24‑10,deep-research-report (2).md,299,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-21,21,CIO.gov AI use case inventories reference.,CIO.gov,report,report,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-21,CIO.gov:CIO.gov AI use case inventories reference,deep-research-report (2).md,300,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-22,22,"Federal Register: advanced AI reporting requirements notice (Sep 11, 2024).",US Federal Register,law,law,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,binding,True,False,S2-T3-22,US Federal Register:Federal Register: advanced AI reporting requirements notice,deep-research-report (2).md,301,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-23,23,"Federal Register: Framework for AI Diffusion (Jan 15, 2025).",US Federal Register,law,law,requirements,"[""compute""]",independently_verifiable,official_or_intergov,unknown,binding,True,False,S2-T3-23,US Federal Register:Federal Register: Framework for AI Diffusion,deep-research-report (2).md,302,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-24,24,"White House presidential action replacing AI directives (Jan 23, 2025).",White House,law,law,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,binding,True,False,S2-T3-24,White House:White House presidential action replacing AI directives,deep-research-report (2).md,303,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-25,25,"Federal Register: EO 14110 publication (Nov 1, 2023; background).",US Federal Register,law,law,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,binding,True,False,S2-T3-25,US Federal Register:Federal Register: EO 14110 publication,deep-research-report (2).md,304,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-26,26,FMF publications index.,Frontier Model Forum,report,portal_page,evidence,"[""GPAI""]",self_attested,issuer_self_or_industry,registry_or_info,voluntary,True,False,S2-T3-26,Frontier Model Forum:FMF publications index,deep-research-report (2).md,305,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-27,27,FMF: Frontier Capability Assessments report PDF.,Frontier Model Forum,report,report,audit,"[""GPAI"", ""evaluations""]",self_attested,issuer_self_or_industry,self_report,voluntary,True,False,S2-T3-27,Frontier Model Forum:FMF: Frontier Capability Assessments report,deep-research-report (2).md,306,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-28,28,FMF: Risk Taxonomy and Thresholds report PDF.,Frontier Model Forum,report,report,requirements,"[""evaluations""]",self_attested,issuer_self_or_industry,self_report,voluntary,True,False,S2-T3-28,Frontier Model Forum:FMF: Risk Taxonomy and Thresholds report,deep-research-report (2).md,307,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-29,29,FMF: Frontier Mitigations page.,Frontier Model Forum,report,report,evidence,"[""GPAI""]",self_attested,issuer_self_or_industry,self_report,voluntary,True,False,S2-T3-29,Frontier Model Forum:FMF: Frontier Mitigations page,deep-research-report (2).md,308,0.9,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-30,30,FMF: Frontier AI and Nuclear Security update.,Frontier Model Forum,report,report,evidence,"[""GPAI""]",self_attested,issuer_self_or_industry,self_report,voluntary,True,False,S2-T3-30,Frontier Model Forum:FMF: Frontier AI and Nuclear Security update,deep-research-report (2).md,309,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-31,31,FMF: TEVV comment letter (Sep 2025).,Frontier Model Forum,report,comment_letter,audit,"[""evaluations""]",self_attested,issuer_self_or_industry,self_report,voluntary,True,False,S2-T3-31,Frontier Model Forum:FMF: TEVV comment letter,deep-research-report (2).md,310,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-32,32,FMF: thresholds issue brief (Feb 2025).,Frontier Model Forum,report,report,requirements,"[""GPAI""]",self_attested,issuer_self_or_industry,self_report,voluntary,True,False,S2-T3-32,Frontier Model Forum:FMF: thresholds issue brief,deep-research-report (2).md,311,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-33,33,FMF: AI‑bio misuse mitigations taxonomy.,Frontier Model Forum,report,report,evidence,"[""evaluations""]",self_attested,issuer_self_or_industry,self_report,voluntary,True,False,S2-T3-33,Frontier Model Forum:FMF: AI‑bio misuse mitigations taxonomy,deep-research-report (2).md,312,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-34,34,FMF: AI‑Cyber workstream page.,Frontier Model Forum,report,portal_page,evidence,"[""GPAI""]",self_attested,issuer_self_or_industry,registry_or_info,voluntary,True,False,S2-T3-34,Frontier Model Forum:FMF: AI‑Cyber workstream page,deep-research-report (2).md,313,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-35,35,FMF: AI‑Nuclear workstream page.,Frontier Model Forum,report,portal_page,evidence,"[""GPAI""]",self_attested,issuer_self_or_industry,registry_or_info,voluntary,True,False,S2-T3-35,Frontier Model Forum:FMF: AI‑Nuclear workstream page,deep-research-report (2).md,314,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-36,36,FMF: AI‑Bio workstream page.,Frontier Model Forum,report,portal_page,evidence,"[""GPAI""]",self_attested,issuer_self_or_industry,registry_or_info,voluntary,True,False,S2-T3-36,Frontier Model Forum:FMF: AI‑Bio workstream page,deep-research-report (2).md,315,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-37,37,METR: Common Elements (July 2024).,METR,report,report,evidence,"[""GPAI""]",independently_verifiable,research_org,third_party_analysis,voluntary,True,False,S2-T3-37,METR:METR: Common Elements,deep-research-report (2).md,316,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-38,38,METR: Common Elements (March 2025).,METR,report,report,evidence,"[""GPAI""]",independently_verifiable,research_org,third_party_analysis,voluntary,True,False,S2-T3-38,METR:METR: Common Elements,deep-research-report (2).md,317,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-39,39,METR: Example safety and security framework (Apr 2025).,METR,report,framework_policy,requirements,"[""GPAI""]",independently_verifiable,research_org,unknown,voluntary,True,False,S2-T3-39,METR:METR: Example safety and security framework,deep-research-report (2).md,318,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-40,40,OpenAI Preparedness Framework v2 (PDF).,OpenAI,report,framework_policy,requirements,"[""GPAI""]",self_attested,issuer_self_or_industry,self_report,voluntary,True,False,S2-T3-40,OpenAI:OpenAI Preparedness Framework v2,deep-research-report (2).md,319,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-41,41,OpenAI Preparedness blog update.,OpenAI,report,blog_post,requirements,"[""GPAI""]",self_attested,issuer_self_or_industry,self_report,voluntary,False,True,S2-T3-40,OpenAI:OpenAI Preparedness blog update,deep-research-report (2).md,320,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-42,42,Anthropic RSP (Oct 2024 PDF).,Anthropic,report,framework_policy,requirements,"[""GPAI""]",self_attested,issuer_self_or_industry,self_report,voluntary,True,False,S2-T3-42,Anthropic:Anthropic RSP,deep-research-report (2).md,321,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-43,43,Anthropic RSP updates/versioning page.,Anthropic,report,framework_policy,requirements,"[""GPAI""]",self_attested,issuer_self_or_industry,self_report,voluntary,False,True,S2-T3-42,Anthropic:Anthropic RSP updates/versioning page,deep-research-report (2).md,322,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-44,44,Google DeepMind Frontier Safety Framework 3.0 (PDF).,Google DeepMind,report,framework_policy,requirements,"[""GPAI""]",self_attested,issuer_self_or_industry,self_report,voluntary,True,False,S2-T3-44,Google DeepMind:Google DeepMind Frontier Safety Framework 3.0,deep-research-report (2).md,323,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-45,45,Google DeepMind Frontier Safety Framework update blog.,Google DeepMind,report,blog_post,requirements,"[""GPAI""]",self_attested,issuer_self_or_industry,self_report,voluntary,False,True,S2-T3-44,Google DeepMind:Google DeepMind Frontier Safety Framework update blog,deep-research-report (2).md,324,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-46,46,Joint pre‑deployment testing report (US/UK) on OpenAI o1.,US & UK Governments (joint),report,report,audit,"[""evaluations""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-46,Unknown:Joint pre‑deployment testing report on OpenAI o1,deep-research-report (2).md,325,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-47,47,OpenAI o1 system card (PDF).,OpenAI,report,system_card,evidence,"[""evaluations""]",self_attested,issuer_self_or_industry,self_report,voluntary,True,False,S2-T3-47,OpenAI:OpenAI o1 system card,deep-research-report (2).md,326,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-48,48,UK AISI “Our First Year” blog (name change note).,UK AI Security Institute,report,blog_post,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-48,UK AI Security Institute:UK AISI “Our First Year” blog,deep-research-report (2).md,327,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-49,49,UK parliamentary written statement on renaming.,UK Parliament,report,report,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,primary_source_or_official_report,voluntary,True,False,S2-T3-49,UK Parliament:UK parliamentary written statement on renaming,deep-research-report (2).md,328,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-50,50,AISI Frontier AI Trends Report page.,UK AI Security Institute,report,report,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,primary_source_or_official_report,voluntary,True,False,S2-T3-50,UK AI Security Institute:AISI Frontier AI Trends Report page,deep-research-report (2).md,329,0.9,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-51,51,International AI Safety Report 2026 (PDF).,International AI Safety Report (IASR),report,report,evidence,"[""GPAI""]",independently_verifiable,research_org,unknown,voluntary,True,False,S2-T3-51,Unknown:International AI Safety Report 2026,deep-research-report (2).md,330,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-52,52,International AI Safety Report 2026 (publication page).,International AI Safety Report (IASR),report,portal_page,evidence,"[""GPAI""]",independently_verifiable,research_org,registry_or_info,voluntary,False,True,S2-T3-51,Unknown:International AI Safety Report 2026,deep-research-report (2).md,331,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-53,53,California Report on Frontier AI Policy (PDF).,California (State),report,framework_policy,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-53,California (State):California Report on Frontier AI Policy,deep-research-report (2).md,332,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-54,54,NVIDIA Frontier AI Risk Assessment (PDF).,NVIDIA,report,framework_policy,requirements,"[""GPAI"", ""evaluations""]",self_attested,issuer_self_or_industry,self_report,voluntary,True,False,S2-T3-54,NVIDIA:NVIDIA Frontier AI Risk Assessment,deep-research-report (2).md,333,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-55,55,RAND report on securing frontier AI (PDF).,RAND,report,report,evidence,"[""GPAI""]",independently_verifiable,research_org,third_party_analysis,voluntary,True,False,S2-T3-55,RAND:RAND report on securing frontier AI,deep-research-report (2).md,334,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-56,56,WEF Global Cybersecurity Outlook 2026 (PDF).,World Economic Forum,report,report,evidence,"[""GPAI""]",independently_verifiable,research_org,third_party_analysis,voluntary,True,False,S2-T3-56,World Economic Forum:WEF Global Cybersecurity Outlook 2026,deep-research-report (2).md,335,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-57,57,ControlArena research page (Control evaluations catalog).,ControlArena,report,portal_page,audit,"[""evaluations""]",independently_verifiable,research_org,registry_or_info,voluntary,True,False,S2-T3-57,ControlArena:ControlArena research page,deep-research-report (2).md,336,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-58,58,"Federal Register: AI diffusion rule (again, canonical reference).",US Federal Register,law,law,requirements,"[""compute""]",independently_verifiable,official_or_intergov,unknown,binding,False,True,S2-T3-23,US Federal Register:Federal Register: AI diffusion rule,deep-research-report (2).md,337,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-59,59,"OMB memo as governance anchor (again, canonical reference).",OMB,report,policy_memo,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,False,True,S2-T3-20,OMB:OMB memo as governance anchor,deep-research-report (2).md,338,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-60,60,"CIO.gov use‑case inventory infrastructure (again, canonical reference).",CIO.gov,report,report,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,False,True,S2-T3-21,CIO.gov:CIO.gov use‑case inventory infrastructure,deep-research-report (2).md,339,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-61,61,Federal Reserve Board M‑24‑10 compliance plan (PDF).,Federal Reserve Board,report,policy_memo,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-61,Federal Reserve Board:Federal Reserve Board M‑24‑10 compliance plan,deep-research-report (2).md,340,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-62,62,EXIM M‑24‑10 compliance plan (PDF).,Export-Import Bank of the United States (EXIM),report,policy_memo,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-62,Export-Import Bank of the United States (EXIM):EXIM M‑24‑10 compliance plan,deep-research-report (2).md,341,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-63,63,US State Department M‑24‑10 compliance plan page.,US Department of State,report,policy_memo,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-63,US Department of State:US State Department M‑24‑10 compliance plan page,deep-research-report (2).md,342,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-64,64,SBA M‑24‑10 compliance plan page.,US SBA,report,policy_memo,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,True,False,S2-T3-64,US SBA:SBA M‑24‑10 compliance plan page,deep-research-report (2).md,343,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-65,65,Reuters: EU AI Act timeline “no stop the clock” context.,Reuters,report,news_article,evidence,"[""GPAI""]",independently_verifiable,journalism,unknown,voluntary,True,False,S2-T3-65,Reuters:Reuters: EU AI Act timeline “no stop the clock” context,deep-research-report (2).md,344,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-66,66,AP: EU code of practice release coverage.,Associated Press,report,news_article,requirements,"[""GPAI""]",independently_verifiable,journalism,unknown,voluntary,True,False,S2-T3-66,Associated Press:AP: EU code of practice release coverage,deep-research-report (2).md,345,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-67,67,OECD dashboard entry for HLAB‑AI.,OECD,report,dashboard_entry,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,self_report_or_registry,voluntary,True,False,S2-T3-67,OECD:OECD dashboard entry for HLAB‑AI,deep-research-report (2).md,346,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-68,68,UN operational use of AI in UN system report (Nov 2024).,UN,report,report,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,primary_source_or_official_report,voluntary,True,False,S2-T3-68,UN:UN operational use of AI in UN system report,deep-research-report (2).md,347,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-69,69,EU AI Act policy explainer page (AI Act overview).,European Commission,report,portal_page,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,registry_or_info,voluntary,True,False,S2-T3-69,European Commission:EU AI Act policy explainer page,deep-research-report (2).md,348,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-70,70,FMF “Frontier Frameworks Workstream” index.,Frontier Model Forum,report,portal_page,requirements,"[""GPAI""]",self_attested,issuer_self_or_industry,registry_or_info,voluntary,True,False,S2-T3-70,Frontier Model Forum:FMF “Frontier Frameworks Workstream” index,deep-research-report (2).md,349,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-71,71,FMF “Risk taxonomy and thresholds” page (HTML).,Frontier Model Forum,report,report,requirements,"[""evaluations""]",self_attested,issuer_self_or_industry,self_report,voluntary,False,True,S2-T3-28,Frontier Model Forum:FMF “Risk taxonomy and thresholds” page,deep-research-report (2).md,350,0.9,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-72,72,FMF home page mission framing.,Frontier Model Forum,report,portal_page,evidence,"[""GPAI""]",self_attested,issuer_self_or_industry,registry_or_info,voluntary,True,False,S2-T3-72,Frontier Model Forum:FMF home page mission framing,deep-research-report (2).md,351,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-73,73,OECD event listing for HAIP reporting framework (repeat canonical).,OECD,report,event_page,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,self_report_or_registry,voluntary,False,True,S2-T3-12,OECD:OECD event listing for HAIP reporting framework,deep-research-report (2).md,352,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-74,74,EU Code of Practice overview (third‑party explainer; background).,European Commission,report,report,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,primary_source_or_official_report,voluntary,True,False,S2-T3-74,European Commission:EU Code of Practice overview,deep-research-report (2).md,353,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-75,75,UK government news on AI Security Institute (“plan for change”).,UK AI Security Institute,report,report,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,primary_source_or_official_report,voluntary,True,False,S2-T3-75,UK AI Security Institute:UK government news on AI Security Institute,deep-research-report (2).md,354,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-76,76,AISI “Fourth progress report” (May 2024).,UK AI Security Institute,report,report,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,primary_source_or_official_report,voluntary,True,False,S2-T3-76,UK AI Security Institute:AISI “Fourth progress report”,deep-research-report (2).md,355,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-77,77,OECD “Launching HAIP reporting framework” event page (alt source).,OECD,report,event_page,requirements,"[""GPAI""]",independently_verifiable,official_or_intergov,self_report_or_registry,voluntary,False,True,S2-T3-12,OECD:OECD “Launching HAIP reporting framework” event page,deep-research-report (2).md,356,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-78,78,OECD: “How are AI developers managing risks?” PDF (alt source).,OECD,report,report,evidence,"[""GPAI""]",independently_verifiable,official_or_intergov,unknown,voluntary,False,True,S2-T3-15,OECD:OECD: “How are AI developers managing risks?”,deep-research-report (2).md,357,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-79,79,FMF: “Frontier AI and nuclear security” workstream framing (alt).,Frontier Model Forum,report,report,evidence,"[""GPAI""]",self_attested,issuer_self_or_industry,self_report,voluntary,False,True,S2-T3-30,Frontier Model Forum:FMF: “Frontier AI and nuclear security” workstream framing,deep-research-report (2).md,358,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-80,80,“Survey on thresholds for advanced AI systems” (expert survey).,Unknown (expert survey),report,report,evidence,"[""GPAI""]",independently_verifiable,research_org,unknown,voluntary,True,False,S2-T3-80,Unknown:“Survey on thresholds for advanced AI systems”,deep-research-report (2).md,359,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-81,81,“Mapping benchmark data to quantitative risk estimates” (risk quant).,Unknown (risk quant study),report,report,evidence,"[""GPAI""]",independently_verifiable,research_org,unknown,voluntary,True,False,S2-T3-81,Unknown:“Mapping benchmark data to quantitative risk estimates”,deep-research-report (2).md,360,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-82,82,International AI Safety Report 2026 disclaimer / official PDF (repeat canonical).,International AI Safety Report (IASR),report,report,evidence,"[""GPAI""]",independently_verifiable,research_org,unknown,voluntary,False,True,S2-T3-51,Unknown:International AI Safety Report 2026 disclaimer / official,deep-research-report (2).md,361,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
S2-T3-83,83,FMF: “Frontier AI and nuclear security” research update (repeat canonical).,Frontier Model Forum,report,report,evidence,"[""GPAI""]",self_attested,issuer_self_or_industry,self_report,voluntary,False,True,S2-T3-30,Frontier Model Forum:FMF: “Frontier AI and nuclear security” research update,deep-research-report (2).md,362,1.0,v1.0.0-2026-02-14,governance-atlas-schema-1.0.0
